Locus_Index,Panmixia_TI,Panmixia_BTI,Panmixia_HS,Full_TI,Full_BTI,Full_HS,DGF3_TI,DGF3_BTI,DGF3_HS
211,-469.13,-461.92,-441.59,-471.81,-465.04,-444.14,-469.23,-462.06,-442.87
212,-488.21,-482.58,-468.08,-493.62,-488.77,-471.07,-493.8,-488.78,-470.61
213,-482.68,-475.4,-443.53,-483.77,-476.49,-445.71,-481.08,-473.43,-444.58
214,-594.97,-586.24,-570.36,-601.06,-594.12,-573.62,-599.53,-592.16,-572.24
215,-424.67,-420.4,-418.09,-428.26,-423.88,-421.82,-425.78,-421.38,-419.91
216,-441.48,-437.04,-434.77,-443.84,-439.26,-438.09,-441.72,-437.08,-436.65
217,-512.32,-505.81,-487.31,-513.96,-507.46,-489.59,-511.9,-505.22,-487.99
218,-432.24,-427.89,-425.93,-436.92,-432.49,-430.01,-434.33,-429.94,-427.82
219,-431.27,-426.71,-420.74,-437.82,-433.62,-424.69,-436.88,-432.55,-423.41
220,-441.85,-437.15,-427.41,-447.72,-443.45,-431.31,-446.4,-441.94,-429.78
221,-4502.82,-1578.82,-741.27,-6162.19,-1880.1,-783.43,-6153.84,-1894.29,-797.04
222,-611.8,-603.71,-587.24,-614.95,-607.59,-589.73,-611.79,-603.97,-587.67
223,-441.16,-432.05,-429.26,-445.53,-437.54,-432.92,-442.12,-433.09,-431.28
224,-548.19,-539.69,-510.27,-553.07,-546.14,-512.97,-552.78,-545.67,-512.57
225,-445.29,-440.66,-434.82,-446.35,-441.36,-437.55,-444.55,-439.41,-436.46
226,-3409.75,-1476.24,-826.19,-4350.52,-1652.13,-862.55,-4371.26,-1682.56,-871.29
227,-529.04,-496.75,-447.19,-530.44,-501.13,-448.73,-527.6,-497.76,-447.08
228,-548.83,-534.65,-490.62,-549.99,-537.31,-492.18,-546.3,-532.76,-491.24
229,-433.53,-429.18,-426.95,-439.25,-434.83,-431.03,-437.09,-432.74,-429.33
230,-638.56,-630.03,-608.51,-642.25,-634.76,-610.21,-641.42,-633.63,-610.04
231,-449.1,-443.73,-429.17,-454.43,-449.84,-430.75,-452.45,-447.65,-429.02
232,-434.65,-430.29,-427.96,-438.36,-433.87,-431.78,-435.98,-431.49,-429.96
233,-472.77,-467.59,-463.66,-475.56,-470.43,-466.41,-474.77,-469.56,-466.24
234,-489.84,-481.84,-447.52,-491.99,-485.21,-449.54,-490.87,-483.41,-448.82
235,-528.57,-495.62,-449.1,-528.56,-499.34,-451.56,-525.4,-495.82,-450
236,-466.56,-459.57,-440.59,-471.52,-466.06,-443.29,-469.93,-464.31,-441.84
237,-3022.36,-1364.28,-761.77,-3839.89,-1513.01,-793.88,-3849.79,-1534.78,-805.07
238,-524.72,-516.41,-490.52,-527.4,-519.68,-491.79,-526.52,-518.49,-492.33
239,-669.23,-645.34,-612.95,-672.68,-651.16,-615.97,-671.29,-649.87,-614.32
240,-413.94,-409.82,-408.1,-417.64,-413.42,-412.08,-415.32,-411.12,-410.22
241,-431.25,-426.93,-424.81,-436.3,-431.9,-428.99,-433.24,-428.92,-426.56
242,-738.1,-728.85,-698.37,-741.9,-733.05,-701.2,-739.76,-730.47,-700.11
243,-553.81,-527.97,-486.27,-559.45,-536.84,-490.04,-558.07,-534.8,-490.58
244,-465.94,-457.51,-436.32,-470.66,-464.41,-438.86,-469.37,-462.83,-437.21
245,-629.39,-622.42,-610.32,-633.09,-626.39,-612.7,-631.03,-623.93,-611.78
246,-548.5,-543.04,-542.81,-553.2,-547.63,-547.42,-550.61,-545.08,-545.43
247,-467.17,-461.86,-449.44,-471.22,-466.37,-452.3,-471.5,-466.39,-452.4
248,-438.29,-433.87,-431.89,-441.78,-437.29,-435.46,-439.62,-435.11,-433.89
249,-1716.6,-1092.91,-677.42,-2087.79,-1196.5,-735.52,-2077.7,-1182.74,-751.78
250,-1697.82,-1057.66,-668.27,-2052.23,-1135.04,-692.71,-2056.91,-1143.86,-695.01
251,-1664.78,-1058.82,-661.04,-2000.72,-1132.42,-677.39,-2004.95,-1137.83,-685.61
252,-394.73,-377.08,-347.05,-397.26,-382.15,-349.42,-396.07,-381.02,-347.33
253,-582.08,-576.28,-576.24,-587.79,-581.88,-581.65,-586.9,-580.98,-583.43
254,-457.23,-452.41,-445.37,-458.99,-454.06,-448.21,-456,-450.9,-445.39
255,-516.48,-488.13,-433.65,-518.68,-493.2,-436.39,-517.31,-491.84,-435.4
256,-419.6,-415.42,-413.93,-422.31,-418.01,-417.32,-420.24,-415.94,-415.78
257,-526.08,-480.08,-431.62,-525.39,-483.75,-434.61,-523.36,-481.54,-433.55
258,-426.2,-421.97,-420.59,-431.39,-427.04,-425.59,-430.4,-426.04,-426.38
259,-485.61,-479.14,-461.43,-488.87,-483.67,-463.6,-490.77,-485.25,-463.36
260,-1681.9,-1084.51,-679.79,-2088.59,-1263.14,-773.38,-2104.54,-1281.04,-842.72
261,-440.67,-435.26,-425.97,-444.53,-439.78,-428.74,-442.8,-437.64,-427.87
262,-372.64,-369.03,-361.37,-376.86,-373.09,-364.77,-375.25,-371.4,-363.57
263,-552.29,-533.72,-498.47,-557.35,-541.55,-501.45,-555.11,-538.67,-499.93
264,-1832.92,-1169.15,-764.87,-2236.12,-1294.74,-839.72,-2246.99,-1307.26,-857.31
265,-683.46,-674.09,-643.66,-685.47,-676.21,-645.73,-684.14,-674.55,-645.13
266,-444.8,-440.49,-433.73,-449.77,-445.25,-437.48,-447.36,-442.84,-435.88
267,-1838.72,-1097.22,-676.24,-2231.94,-1196.41,-691.75,-2244.56,-1210.93,-709.42
268,-425.75,-421.47,-419.29,-431.55,-427.15,-423.17,-428.6,-424.29,-420.92
269,-1898.5,-1131.19,-691.59,-2326.46,-1242.34,-738.12,-2342.66,-1263.77,-754.73
270,-498.67,-489.49,-457.29,-501.22,-493.12,-459.5,-500.13,-491.91,-459.37
271,-554.5,-547.95,-531.19,-558.28,-550.9,-535.27,-556.99,-549.15,-536.72
272,-660.91,-653.74,-628.86,-670.19,-662.25,-634.95,-667.76,-660.09,-634.79
273,-440.8,-435.73,-426.03,-444.59,-439.91,-429.07,-442.56,-437.74,-428.06
274,-453.84,-449.14,-441.74,-459.48,-454.86,-445.23,-460.48,-455.63,-447.52
275,-478.66,-463.73,-431.47,-481.4,-468.62,-432.92,-479.73,-466.72,-431.69
276,-2167.23,-1260.3,-813.04,-2638.36,-1348.67,-823.45,-2633.15,-1346.17,-823.44
277,-442.24,-437.33,-427.89,-446.42,-441.71,-430.91,-443.67,-438.84,-428.59
278,-1640.68,-1063.99,-681.81,-1956.95,-1124.17,-687.8,-1959.36,-1128.5,-694.15
279,-441.64,-437.23,-435.97,-444.61,-440.07,-439.54,-442.49,-437.95,-438.02
280,-408.43,-360.45,-322.41,-407.08,-364.68,-324.6,-405.81,-363.21,-322.55
281,-452.02,-446.51,-432.02,-455.26,-450.39,-434.76,-455.87,-450.68,-434.41
282,-513.91,-467.69,-421.89,-516.64,-474.47,-424.39,-514.84,-472.34,-422.96
283,-415.04,-410.9,-409.28,-420.52,-416.27,-414.56,-418.31,-414.09,-412.55
284,-533.49,-488.92,-476.56,-535.63,-494.83,-478.64,-534.47,-493.84,-476.91
285,-500.69,-495.22,-482.84,-507.85,-502.79,-486.05,-507.81,-502.58,-486.63
286,-445.59,-441.04,-438.37,-450.11,-445.49,-442.17,-449.36,-444.66,-442.9
287,-631.85,-624.74,-607.96,-640.34,-632.94,-614.05,-637.92,-630.13,-613.55
288,-564.52,-558.9,-557.93,-570.23,-564.49,-562.26,-569.6,-563.8,-563.36
289,-514.77,-508.96,-497.42,-520.65,-515.68,-500.59,-517.97,-513.08,-498.6
290,-484.46,-478.54,-463.86,-489.51,-484.19,-467.36,-488.61,-482.89,-466.16
291,-2337.75,-1321.11,-854.39,-2863.59,-1430.31,-877.14,-2866.08,-1431.92,-895.3
292,-1616.44,-1042.88,-663.3,-1932.58,-1101.89,-679.13,-1942.19,-1114.78,-692.42
293,-1783.84,-1115.31,-723.36,-2157.71,-1203.85,-759.94,-2163.75,-1216.79,-759.1
294,-1744.43,-1103.23,-682.93,-2114.06,-1200.34,-721.89,-2117.79,-1207.89,-741.24
295,-452.54,-447.9,-440.44,-456.75,-452.13,-443.58,-454.73,-450.01,-442.54
296,-1749.71,-1124.16,-710.49,-2097.66,-1218.32,-730.72,-2102.27,-1230.68,-750.88
297,-540.25,-519.5,-466.59,-538.94,-520.09,-468.23,-536.92,-518.25,-467.11
298,-559.16,-551.84,-546.92,-561.15,-553.94,-550.04,-559,-551.4,-549.11
299,-460.55,-455.66,-450.39,-463.94,-459.06,-453.11,-461.14,-456.22,-450.8
300,-512.54,-499.16,-465.71,-516.33,-504.32,-468.52,-514.96,-502.7,-467.1
301,-1724.52,-1062.65,-671.28,-2098.54,-1151.55,-705.71,-2102.82,-1161.04,-711.1
302,-478.25,-472.54,-460.63,-481.81,-476.11,-463.47,-478.74,-472.72,-461.29
303,-502.3,-494.68,-464.05,-508.54,-503.3,-466.41,-508.05,-502.58,-465.07
304,-2047.92,-1209.32,-785.82,-2498.2,-1309.97,-803.04,-2508.17,-1325.91,-815.16
305,-1734.95,-1076.32,-677.93,-2112.57,-1176.43,-711.47,-2110.69,-1176.4,-726.51
306,-433,-428.61,-426.75,-436.87,-432.44,-430.2,-435.53,-431.09,-429.33
307,-1665.54,-1050.35,-664.54,-2001.55,-1118.84,-685.32,-2005.71,-1126.3,-691.8
308,-2508.07,-1214.72,-667.83,-3168.21,-1346.17,-702.9,-3174.04,-1358.57,-715.82
309,-495.85,-478.35,-443.17,-498.85,-483.41,-445.34,-497.38,-481.79,-444.36
310,-428.88,-424.62,-423.17,-433.87,-429.51,-428.07,-431.22,-426.9,-425.42
311,-435.58,-431.22,-429.03,-441.21,-436.72,-433.25,-438.9,-434.48,-431.31
312,-438.82,-434.43,-429.04,-443.54,-439.08,-432.99,-441.22,-436.65,-431.02
313,-573.36,-563.28,-531.91,-578.6,-570.25,-534.82,-577.7,-568.98,-533.39
314,-601.44,-589.56,-562.9,-608.19,-597.29,-566.93,-604.73,-592.99,-566.6
315,-508.06,-502.83,-496.02,-512.17,-506.89,-499.39,-509.62,-504.19,-497.42
316,-572.16,-533.45,-464.12,-578.12,-545.3,-467.1,-577.21,-544.3,-466.06
317,-514.94,-509.02,-497.3,-519.69,-514.15,-500.73,-517,-511.11,-499
